# SPDX-License-Identifier: Apache-2.0
# xlsynth-crate-revision	92bc9b932981c776bb4bb197cd6b6726f17ec090
# status values: supported, partial, gap, excluded
# operation	status	note	coverage
param	supported	symbolic bits, tuple, and array parameters	arbitrary_width_parameters_and_literals_are_native_values
literal	supported	structured and arbitrary-width bits values	arbitrary_width_parameters_and_literals_are_native_values
identity	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
not	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
neg	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
reverse	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
or_reduce	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
and_reduce	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
xor_reduce	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
and	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
nand	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
nor	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
or	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
xor	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
add	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
sub	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
umul	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
smul	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
udiv	supported	XLS divide-by-zero semantics included	arithmetic_comparison_shift_and_partial_product_operations_match_xls
sdiv	supported	XLS signed divide-by-zero semantics included	arithmetic_comparison_shift_and_partial_product_operations_match_xls
umod	supported	XLS modulo-by-zero semantics included	arithmetic_comparison_shift_and_partial_product_operations_match_xls
smod	supported	XLS signed remainder semantics included	arithmetic_comparison_shift_and_partial_product_operations_match_xls
umulp	supported	partial products satisfy the XLS modular-sum relation	arithmetic_comparison_shift_and_partial_product_operations_match_xls
smulp	supported	signed partial products satisfy the XLS modular-sum relation	arithmetic_comparison_shift_and_partial_product_operations_match_xls
eq	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
ne	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
ugt	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
uge	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
ult	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
ule	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
sgt	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
sge	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
slt	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
sle	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
shll	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
shrl	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
shra	supported	merged value semantics	arithmetic_comparison_shift_and_partial_product_operations_match_xls
gate	supported	deep zeroing for bits and structured values	unary_nary_encoding_and_gate_operations_match_xls
zero_ext	supported	merged value semantics	slicing_update_and_extension_operations_match_xls
sign_ext	supported	merged value semantics	slicing_update_and_extension_operations_match_xls
bit_slice	supported	merged value semantics	slicing_update_and_extension_operations_match_xls
concat	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
array	supported	finite structural value	nested_array_tuple_index_concat_slice_and_update_operations_match_xls
array_index	supported	multidimensional indexing with XLS out-of-bounds clamping	nested_array_tuple_index_concat_slice_and_update_operations_match_xls
array_concat	supported	finite structural array concatenation	nested_array_tuple_index_concat_slice_and_update_operations_match_xls
array_slice	supported	XLS clamped slicing including oversized starts	nested_array_tuple_index_concat_slice_and_update_operations_match_xls
array_update	supported	multidimensional update with XLS out-of-bounds behavior	nested_array_tuple_index_concat_slice_and_update_operations_match_xls
tuple	supported	finite structural value	nested_array_tuple_index_concat_slice_and_update_operations_match_xls
tuple_index	supported	finite structural value	nested_array_tuple_index_concat_slice_and_update_operations_match_xls
dynamic_bit_slice	supported	merged data selection	slicing_update_and_extension_operations_match_xls
bit_slice_update	supported	merged data selection including oversized starts	slicing_update_and_extension_operations_match_xls
sel	supported	complete canonical case/default enumeration	nested_selects_are_complete_and_structurally_inactive
priority_sel	supported	complete priority-resolved case/default enumeration	priority_and_one_hot_outcomes_follow_v1_policy
one_hot_sel	supported	complete canonical selected-bitmask enumeration	priority_and_one_hot_outcomes_follow_v1_policy
one_hot	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
encode	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
decode	supported	merged value semantics	unary_nary_encoding_and_gate_operations_match_xls
ext_carry_out	supported	desugared to pinned ordinary PIR operations	pir_extension_operations_desugar_before_symbolic_evaluation
ext_prio_encode	supported	desugared to pinned ordinary PIR operations	pir_extension_operations_desugar_before_symbolic_evaluation
ext_clz	supported	desugared to pinned ordinary PIR operations	pir_extension_operations_desugar_before_symbolic_evaluation
ext_normalize_left	supported	desugared to pinned ordinary PIR operations	pir_extension_operations_desugar_before_symbolic_evaluation
ext_mask_low	supported	desugared to pinned ordinary PIR operations	pir_extension_operations_desugar_before_symbolic_evaluation
ext_nary_add	supported	desugared to pinned ordinary PIR operations	pir_extension_operations_desugar_before_symbolic_evaluation
invoke	supported	demand evaluation with callsite-qualified choice identities	callsites_and_loop_iterations_have_distinct_choice_identities
counted_for	supported	finite unrolling with iteration-qualified choice identities	callsites_and_loop_iterations_have_distinct_choice_identities
after_all	excluded	token and effect ordering is outside the pure value contract	n/a
assert	excluded	token-consuming diagnostic operation	n/a
trace	excluded	token-consuming diagnostic operation	n/a
cover	excluded	token-consuming diagnostic operation	n/a
instantiation_input	excluded	block and instantiation semantics are outside scope	n/a
instantiation_output	excluded	block and instantiation semantics are outside scope	n/a
register_read	excluded	implicit persistent state is outside scope	n/a
register_write	excluded	implicit persistent state is outside scope	n/a
